t,value,value_norm,delay
0,2.5,0.0,0.15000000000000002
1,2.538961038961039,0.005994005994005979,0.24222017304113067
2,2.5779220779220777,0.011988011988011959,0.3911358471703764
3,2.616883116883117,0.017982017982018005,0.6316015440977459
4,2.655844155844156,0.023976023976023983,1.019898589283607
5,2.6948051948051948,0.02997002997002996,1.6469068552830766
6,2.7337662337662336,0.03596403596403594,2.659373364483892
7,2.7727272727272725,0.04195804195804192,4.294254861585901
8,2.811688311688312,0.047952047952047966,6.9341707878059315
9,2.8506493506493507,0.053946053946053944,11.196942852946906
10,2.8896103896103895,0.05994005994005992,14.700299700299698
11,2.9285714285714284,0.06593406593406591,14.670329670329672
12,3.0259740259740258,0.08091908091908089,14.595404595404595
13,3.1233766233766236,0.09590409590409593,14.520479520479519
14,3.220779220779221,0.11088911088911092,14.445554445554444
15,3.3181818181818183,0.1258741258741259,14.37062937062937
16,3.4155844155844157,0.1408591408591409,14.295704295704294
17,3.512987012987013,0.15584415584415587,14.220779220779221
18,3.6103896103896105,0.17082917082917085,14.145854145854146
19,3.707792207792208,0.18581418581418582,14.07092907092907
20,3.8051948051948057,0.20079920079920088,13.996003996003996
21,3.9025974025974026,0.21578421578421578,13.921078921078923
22,4.0,0.23076923076923078,13.846153846153847
23,4.0606060606060606,0.2400932400932401,13.799533799533798
24,4.121212121212121,0.2494172494172494,13.752913752913754
25,4.181818181818182,0.2587412587412587,13.706293706293707
26,4.242424242424243,0.26806526806526815,13.65967365967366
27,4.303030303030304,0.2773892773892775,13.613053613053614
28,4.363636363636364,0.2867132867132868,13.566433566433567
29,4.424242424242425,0.2960372960372961,13.51981351981352
30,4.484848484848485,0.30536130536130546,13.473193473193472
31,4.545454545454546,0.31468531468531474,13.426573426573425
32,4.606060606060606,0.3240093240093241,13.37995337995338
33,4.666666666666668,0.33333333333333354,13.333333333333332
34,4.787878787878789,0.35198135198135216,13.240093240093241
35,4.90909090909091,0.3706293706293708,13.146853146853147
36,5.03030303030303,0.38927738927738925,13.053613053613054
37,5.151515151515152,0.40792540792540805,12.960372960372961
38,5.272727272727273,0.4265734265734267,12.867132867132867
39,5.3939393939393945,0.4452214452214453,12.773892773892772
40,5.515151515151516,0.4638694638694639,12.68065268065268
41,5.636363636363637,0.48251748251748255,12.587412587412587
42,5.757575757575757,0.5011655011655011,12.494172494172496
43,5.878787878787879,0.5198135198135199,12.400932400932401
44,5.999999999999999,0.5384615384615383,12.307692307692308
45,6.0606060606060606,0.5477855477855478,12.261072261072261
46,6.121212121212121,0.5571095571095571,12.214452214452214
47,6.181818181818182,0.5664335664335665,12.167832167832167
48,6.242424242424242,0.5757575757575757,12.121212121212121
49,6.303030303030303,0.585081585081585,12.074592074592074
50,6.363636363636363,0.5944055944055944,12.02797202797203
51,6.424242424242425,0.6037296037296038,11.981351981351981
52,6.484848484848485,0.6130536130536132,11.934731934731936
53,6.545454545454546,0.6223776223776224,11.888111888111887
54,6.606060606060606,0.6317016317016317,11.841491841491841
55,6.666666666666667,0.6410256410256411,11.794871794871796
56,6.787878787878789,0.6596736596736599,11.701631701631701
57,6.90909090909091,0.6783216783216784,11.608391608391608
58,7.03030303030303,0.696969696969697,11.515151515151514
59,7.151515151515152,0.7156177156177157,11.421911421911421
60,7.272727272727273,0.7342657342657344,11.32867132867133
61,7.393939393939395,0.7529137529137532,11.235431235431236
62,7.515151515151516,0.7715617715617716,11.142191142191143
63,7.636363636363638,0.7902097902097904,11.048951048951048
64,7.757575757575759,0.808857808857809,10.955710955710956
65,7.878787878787879,0.8275058275058276,10.862470862470861
66,8.0,0.8461538461538461,10.769230769230768
67,8.06060606060606,0.8554778554778555,10.722610722610725
68,8.121212121212123,0.864801864801865,10.675990675990674
69,8.181818181818183,0.8741258741258744,10.62937062937063
70,8.242424242424244,0.8834498834498837,10.582750582750581
71,8.303030303030305,0.892773892773893,10.536130536130536
72,8.363636363636365,0.9020979020979023,10.489510489510486
73,8.424242424242426,0.9114219114219116,10.442890442890443
74,8.484848484848486,0.920745920745921,10.396270396270396
75,8.545454545454547,0.9300699300699302,10.34965034965035
76,8.606060606060607,0.9393939393939396,10.303030303030303
77,8.666666666666668,0.9487179487179489,10.256410256410255
78,8.690476190476192,0.9523809523809526,10.238095238095237
79,8.714285714285715,0.9560439560439562,10.219780219780219
80,8.738095238095239,0.9597069597069599,10.2014652014652
81,8.761904761904763,0.9633699633699635,10.183150183150182
82,8.785714285714286,0.9670329670329672,10.164835164835164
83,8.80952380952381,0.9706959706959708,10.146520146520146
84,8.833333333333332,0.9743589743589742,10.128205128205128
85,8.857142857142856,0.9780219780219779,10.10989010989011
86,8.88095238095238,0.9816849816849815,10.091575091575091
87,8.904761904761903,0.9853479853479852,10.073260073260073
88,8.928571428571427,0.9890109890109888,10.054945054945055
89,8.935064935064934,0.9900099900099899,10.049950049950048
90,8.94155844155844,0.9910089910089908,10.044955044955046
91,8.948051948051948,0.992007992007992,10.039960039960041
92,8.954545454545453,0.9930069930069928,10.034965034965035
93,8.96103896103896,0.994005994005994,10.02997002997003
94,8.967532467532466,0.9950049950049948,10.024975024975028
95,8.974025974025974,0.9960039960039959,10.019980019980022
96,8.98051948051948,0.9970029970029969,10.014985014985015
97,8.987012987012987,0.998001998001998,10.00999000999001
98,8.993506493506493,0.9990009990009988,10.004995004995006
99,9.0,1.0,10.0
