0,1,2,3,4,5,6,7,8,9
0.0,0.14776011,0.28232124,0.39166346,0.46601954,0.4987475,0.4869238,0.43160468,0.3377316,0.21368994
0.1545085,0.28813583,0.39602482,0.4685381,0.4991983,0.48526657,0.42798743,0.33247742,0.20726824,0.063544385
0.29389262,0.4003068,0.47096273,0.49954897,0.483512,0.42428434,0.32715663,0.20080498,0.05651602,-0.092821345
0.4045085,0.47329295,0.49979952,0.48166052,0.4204962,0.32177022,0.19430146,0.04947633,-0.09976838,-0.24010107
0.47552827,0.49994987,0.47971246,0.41662377,0.31631932,0.18775898,0.042426717,-0.106695406,-0.24628675,-0.36387804
0.5,0.47766826,0.4126678,0.310805,0.18117888,0.0353686,-0.113601044,-0.25242305,-0.36869687,-0.45203608
0.47552827,0.40862912,0.30522835,0.17456244,0.028303394,-0.12048391,-0.25850874,-0.3734418,-0.45501634,-0.49594566
0.4045085,0.29959053,0.16791101,0.021232512,-0.12734263,-0.2645426,-0.3781118,-0.4579054,-0.49679568,-0.49130866
0.29389262,0.16122591,0.0141573725,-0.1341758,-0.27052346,-0.38270605,-0.46070266,-0.49754608,-0.48994517,-0.43857893
0.1545085,0.007079396,-0.14098209,-0.27645007,-0.38722357,-0.46340755,-0.49819672,-0.48848346,-0.43513542,-0.34291804
6.123234e-17,-0.14776011,-0.28232124,-0.39166346,-0.46601954,-0.4987475,-0.4869238,-0.43160468,-0.3377316,-0.21368994
-0.1545085,-0.28813583,-0.39602482,-0.4685381,-0.4991983,-0.48526657,-0.42798743,-0.33247742,-0.20726824,-0.063544385
-0.29389262,-0.4003068,-0.47096273,-0.49954897,-0.483512,-0.42428434,-0.32715663,-0.20080498,-0.05651602,0.092821345
-0.4045085,-0.47329295,-0.49979952,-0.48166052,-0.4204962,-0.32177022,-0.19430146,-0.04947633,0.09976838,0.24010107
-0.47552827,-0.49994987,-0.47971246,-0.41662377,-0.31631932,-0.18775898,-0.042426717,0.106695406,0.24628675,0.36387804
-0.5,-0.47766826,-0.4126678,-0.310805,-0.18117888,-0.0353686,0.113601044,0.25242305,0.36869687,0.45203608
-0.47552827,-0.40862912,-0.30522835,-0.17456244,-0.028303394,0.12048391,0.25850874,0.3734418,0.45501634,0.49594566
-0.4045085,-0.29959053,-0.16791101,-0.021232512,0.12734263,0.2645426,0.3781118,0.4579054,0.49679568,0.49130866
-0.29389262,-0.16122591,-0.0141573725,0.1341758,0.27052346,0.38270605,0.46070266,0.49754608,0.48994517,0.43857893
-0.1545085,-0.007079396,0.14098209,0.27645007,0.38722357,0.46340755,0.49819672,0.48848346,0.43513542,0.34291804
-1.2246469e-16,0.14776011,0.28232124,0.39166346,0.46601954,0.4987475,0.4869238,0.43160468,0.3377316,0.21368994
0.1545085,0.28813583,0.39602482,0.4685381,0.4991983,0.48526657,0.42798743,0.33247742,0.20726824,0.063544385
0.29389262,0.4003068,0.47096273,0.49954897,0.483512,0.42428434,0.32715663,0.20080498,0.05651602,-0.092821345
0.4045085,0.47329295,0.49979952,0.48166052,0.4204962,0.32177022,0.19430146,0.04947633,-0.09976838,-0.24010107
0.47552827,0.49994987,0.47971246,0.41662377,0.31631932,0.18775898,0.042426717,-0.106695406,-0.24628675,-0.36387804
0.5,0.47766826,0.4126678,0.310805,0.18117888,0.0353686,-0.113601044,-0.25242305,-0.36869687,-0.45203608
0.47552827,0.40862912,0.30522835,0.17456244,0.028303394,-0.12048391,-0.25850874,-0.3734418,-0.45501634,-0.49594566
0.4045085,0.29959053,0.16791101,0.021232512,-0.12734263,-0.2645426,-0.3781118,-0.4579054,-0.49679568,-0.49130866
0.29389262,0.16122591,0.0141573725,-0.1341758,-0.27052346,-0.38270605,-0.46070266,-0.49754608,-0.48994517,-0.43857893
0.1545085,0.007079396,-0.14098209,-0.27645007,-0.38722357,-0.46340755,-0.49819672,-0.48848346,-0.43513542,-0.34291804
1.8369701e-16,-0.14776011,-0.28232124,-0.39166346,-0.46601954,-0.4987475,-0.4869238,-0.43160468,-0.3377316,-0.21368994
-0.1545085,-0.28813583,-0.39602482,-0.4685381,-0.4991983,-0.48526657,-0.42798743,-0.33247742,-0.20726824,-0.063544385
-0.29389262,-0.4003068,-0.47096273,-0.49954897,-0.483512,-0.42428434,-0.32715663,-0.20080498,-0.05651602,0.092821345
-0.4045085,-0.47329295,-0.49979952,-0.48166052,-0.4204962,-0.32177022,-0.19430146,-0.04947633,0.09976838,0.24010107
-0.47552827,-0.49994987,-0.47971246,-0.41662377,-0.31631932,-0.18775898,-0.042426717,0.106695406,0.24628675,0.36387804
-0.5,-0.47766826,-0.4126678,-0.310805,-0.18117888,-0.0353686,0.113601044,0.25242305,0.36869687,0.45203608
-0.47552827,-0.40862912,-0.30522835,-0.17456244,-0.028303394,0.12048391,0.25850874,0.3734418,0.45501634,0.49594566
-0.4045085,-0.29959053,-0.16791101,-0.021232512,0.12734263,0.2645426,0.3781118,0.4579054,0.49679568,0.49130866
-0.29389262,-0.16122591,-0.0141573725,0.1341758,0.27052346,0.38270605,0.46070266,0.49754608,0.48994517,0.43857893
-0.1545085,-0.007079396,0.14098209,0.27645007,0.38722357,0.46340755,0.49819672,0.48848346,0.43513542,0.34291804
-2.4492937e-16,0.14776011,0.28232124,0.39166346,0.46601954,0.4987475,0.4869238,0.43160468,0.3377316,0.21368994
0.1545085,0.28813583,0.39602482,0.4685381,0.4991983,0.48526657,0.42798743,0.33247742,0.20726824,0.063544385
0.29389262,0.4003068,0.47096273,0.49954897,0.483512,0.42428434,0.32715663,0.20080498,0.05651602,-0.092821345
0.4045085,0.47329295,0.49979952,0.48166052,0.4204962,0.32177022,0.19430146,0.04947633,-0.09976838,-0.24010107
0.47552827,0.49994987,0.47971246,0.41662377,0.31631932,0.18775898,0.042426717,-0.106695406,-0.24628675,-0.36387804
0.5,0.47766826,0.4126678,0.310805,0.18117888,0.0353686,-0.113601044,-0.25242305,-0.36869687,-0.45203608
0.47552827,0.40862912,0.30522835,0.17456244,0.028303394,-0.12048391,-0.25850874,-0.3734418,-0.45501634,-0.49594566
0.4045085,0.29959053,0.16791101,0.021232512,-0.12734263,-0.2645426,-0.3781118,-0.4579054,-0.49679568,-0.49130866
0.29389262,0.16122591,0.0141573725,-0.1341758,-0.27052346,-0.38270605,-0.46070266,-0.49754608,-0.48994517,-0.43857893
0.1545085,0.007079396,-0.14098209,-0.27645007,-0.38722357,-0.46340755,-0.49819672,-0.48848346,-0.43513542,-0.34291804
3.061617e-16,-0.14776011,-0.28232124,-0.39166346,-0.46601954,-0.4987475,-0.4869238,-0.43160468,-0.3377316,-0.21368994
-0.1545085,-0.28813583,-0.39602482,-0.4685381,-0.4991983,-0.48526657,-0.42798743,-0.33247742,-0.20726824,-0.063544385
-0.29389262,-0.4003068,-0.47096273,-0.49954897,-0.483512,-0.42428434,-0.32715663,-0.20080498,-0.05651602,0.092821345
-0.4045085,-0.47329295,-0.49979952,-0.48166052,-0.4204962,-0.32177022,-0.19430146,-0.04947633,0.09976838,0.24010107
-0.47552827,-0.49994987,-0.47971246,-0.41662377,-0.31631932,-0.18775898,-0.042426717,0.106695406,0.24628675,0.36387804
-0.5,-0.47766826,-0.4126678,-0.310805,-0.18117888,-0.0353686,0.113601044,0.25242305,0.36869687,0.45203608
-0.47552827,-0.40862912,-0.30522835,-0.17456244,-0.028303394,0.12048391,0.25850874,0.3734418,0.45501634,0.49594566
-0.4045085,-0.29959053,-0.16791101,-0.021232512,0.12734263,0.2645426,0.3781118,0.4579054,0.49679568,0.49130866
-0.29389262,-0.16122591,-0.0141573725,0.1341758,0.27052346,0.38270605,0.46070266,0.49754608,0.48994517,0.43857893
-0.1545085,-0.007079396,0.14098209,0.27645007,0.38722357,0.46340755,0.49819672,0.48848346,0.43513542,0.34291804
